idPlayer,namePlayer,dateBirth,numberJersey,idTeam,teamName,slugTeam,cityTeam,slugPlayer,yearSeasonFirst,yearSeasonLast,yearDraft,numberRound,numberOverallPick,slugSeason,nameSchool,nameOrganizationFrom,heightInches,weightLBS,countSeasonsPlayed,pts,ast,treb,countAllStarGames,ratioPIE,urlNBAAPI,nameFirst,nameLast,namePlayerAbbr,codeTeam,urlPlayerStats,urlPlayerThumbnail,urlPlayerHeadshot,urlPlayerActionPhoto,urlPlayerPhoto
2240,Gilbert Arenas,1982-01-06,10,1610612764,Wizards,WAS,Washington,gilbert_arenas,2002,2012,2001,2,30,career,Arizona,Arizona/USA,76,215,11,20.7,5.3,3.9,3,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2240,Gilbert,Arenas,G. Arenas,wizards,https://stats.nba.com/player/2240,https://stats.nba.com/media/players/230x185/2240.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2240.png,https://stats.nba.com/media/players/700/2240.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2240.png
2241,Omar Cook,1982-01-28,1,1610612757,Trail Blazers,POR,Portland,omar_cook,2002,2005,2001,2,31,career,St. John's (NY),St. John's/USA,73,190,2,1.7,2.1,0.6,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2241,Omar,Cook,O. Cook,blazers,https://stats.nba.com/player/2241,https://stats.nba.com/media/players/230x185/2241.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2241.png,https://stats.nba.com/media/players/700/2241.png,https://stats.nba.com/media/players/230x185/2241.png
2242,Terence Morris,1979-01-11,,0,"","","",terence_morris,2002,2009,2001,2,33,career,Maryland,Maryland/USA,,,3,3.4,0.7,2.7,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2242,Terence,Morris,T. Morris,"",https://stats.nba.com/player/2242,https://stats.nba.com/media/players/230x185/2242.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2242.png,https://stats.nba.com/media/players/700/2242.png,https://stats.nba.com/media/players/230x185/2242.png
2243,Brian Scalabrine,1978-03-18,24,1610612738,Celtics,BOS,Boston,brian_scalabrine,2002,2012,2001,2,34,career,Southern California,USC/USA,81,235,11,3.1,0.8,2,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2243,Brian,Scalabrine,B. Scalabrine,celtics,https://stats.nba.com/player/2243,https://stats.nba.com/media/players/230x185/2243.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2243.png,https://stats.nba.com/media/players/700/2243.png,https://stats.nba.com/media/players/230x185/2243.png
2245,Damone Brown,1979-06-28,,0,"","","",damone_brown,2002,2005,2001,2,36,career,Syracuse,Syracuse/USA,,,4,2.8,0.5,1.3,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2245,Damone,Brown,D. Brown,"",https://stats.nba.com/player/2245,https://stats.nba.com/media/players/230x185/2245.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2245.png,https://stats.nba.com/media/players/700/2245.png,https://stats.nba.com/media/players/230x185/2245.png
2248,Earl Watson,1979-06-12,17,1610612760,Thunder,OKC,Oklahoma City,earl_watson,2002,2014,2001,2,39,career,California-Los Angeles,UCLA/USA,73,199,12,6.4,4.4,2.3,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2248,Earl,Watson,E. Watson,thunder,https://stats.nba.com/player/2248,https://stats.nba.com/media/players/230x185/2248.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2248.png,https://stats.nba.com/media/players/700/2248.png,https://stats.nba.com/media/players/230x185/2248.png
2249,Jamison Brewer,1980-11-19,,0,"","","",jamison_brewer,2002,2005,2001,2,40,career,Auburn,Auburn/USA,,,3,1.6,1,0.9,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2249,Jamison,Brewer,J. Brewer,"",https://stats.nba.com/player/2249,https://stats.nba.com/media/players/230x185/2249.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2249.png,https://stats.nba.com/media/players/700/2249.png,https://stats.nba.com/media/players/230x185/2249.png
2254,Loren Woods,1978-06-21,33,1610612750,Timberwolves,MIN,Minnesota,loren_woods,2002,2008,2001,2,45,career,Arizona,Arizona/USA,86,260,6,2.6,0.3,3.2,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2254,Loren,Woods,L. Woods,timberwolves,https://stats.nba.com/player/2254,https://stats.nba.com/media/players/230x185/2254.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2254.png,https://stats.nba.com/media/players/700/2254.png,https://stats.nba.com/media/players/230x185/2254.png
2261,Kenny Satterfield,1981-04-10,11,1610612743,Nuggets,DEN,Denver,kenny_satterfield,2002,2003,2001,2,53,career,Cincinnati,Cincinnati ''03/USA,74,170,2,4.3,2.3,1.3,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2261,Kenny,Satterfield,K. Satterfield,nuggets,https://stats.nba.com/player/2261,https://stats.nba.com/media/players/230x185/2261.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2261.png,https://stats.nba.com/media/players/700/2261.png,https://stats.nba.com/media/players/230x185/2261.png
2264,Alvin Jones,1978-09-09,42,1610612755,76ers,PHI,Philadelphia,alvin_jones,2002,2003,2001,2,56,career,Georgia Tech,Georgia Tech/USA,83,265,1,1.1,0.1,1.6,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2264,Alvin,Jones,A. Jones,sixers,https://stats.nba.com/player/2264,https://stats.nba.com/media/players/230x185/2264.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2264.png,https://stats.nba.com/media/players/700/2264.png,https://stats.nba.com/media/players/230x185/2264.png
